GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
0500000US06001,6001,"Alameda County, California",649100,3303
0500000US06003,6003,"Alpine County, California",343800,37678
0500000US06005,6005,"Amador County, California",278600,7641
0500000US06007,6007,"Butte County, California",238200,3917
0500000US06009,6009,"Calaveras County, California",273400,12074
0500000US06011,6011,"Colusa County, California",223600,12311
0500000US06013,6013,"Contra Costa County, California",522300,5400
0500000US06015,6015,"Del Norte County, California",185900,13895
0500000US06017,6017,"El Dorado County, California",405900,6705
0500000US06019,6019,"Fresno County, California",220600,2197
0500000US06021,6021,"Glenn County, California",214600,13256
0500000US06023,6023,"Humboldt County, California",285800,4628
0500000US06025,6025,"Imperial County, California",167700,3108
0500000US06027,6027,"Inyo County, California",243100,20361
0500000US06029,6029,"Kern County, California",190600,2222
0500000US06031,6031,"Kings County, California",185600,5792
0500000US06033,6033,"Lake County, California",182000,7135
0500000US06035,6035,"Lassen County, California",177500,11132
0500000US06037,6037,"Los Angeles County, California",495800,1386
0500000US06039,6039,"Madera County, California",220400,5593
0500000US06041,6041,"Marin County, California",908800,8635
0500000US06043,6043,"Mariposa County, California",259500,14977
0500000US06045,6045,"Mendocino County, California",338000,8944
0500000US06047,6047,"Merced County, California",196200,5679
0500000US06049,6049,"Modoc County, California",143100,29558
0500000US06051,6051,"Mono County, California",311700,38126
0500000US06053,6053,"Monterey County, California",441000,6591
0500000US06055,6055,"Napa County, California",560500,8513
0500000US06057,6057,"Nevada County, California",379800,6995
0500000US06059,6059,"Orange County, California",620500,2291
0500000US06061,6061,"Placer County, California",413300,4354
0500000US06063,6063,"Plumas County, California",228900,10663
0500000US06065,6065,"Riverside County, California",304500,1948
0500000US06067,6067,"Sacramento County, California",299900,1958
0500000US06069,6069,"San Benito County, California",459700,8439
0500000US06071,6071,"San Bernardino County, California",280200,1917
0500000US06073,6073,"San Diego County, California",484900,2026
0500000US06075,6075,"San Francisco County, California",927400,7229
0500000US06077,6077,"San Joaquin County, California",281100,3375
0500000US06079,6079,"San Luis Obispo County, California",499800,9363
0500000US06081,6081,"San Mateo County, California",917700,6273
0500000US06083,6083,"Santa Barbara County, California",509400,17381
0500000US06085,6085,"Santa Clara County, California",829600,4266
0500000US06087,6087,"Santa Cruz County, California",659900,9193
0500000US06089,6089,"Shasta County, California",233500,4093
0500000US06091,6091,"Sierra County, California",157100,32562
0500000US06093,6093,"Siskiyou County, California",176600,9205
0500000US06095,6095,"Solano County, California",342000,3580
0500000US06097,6097,"Sonoma County, California",513300,7447
0500000US06099,6099,"Stanislaus County, California",244100,3173
0500000US06101,6101,"Sutter County, California",234500,5855
0500000US06103,6103,"Tehama County, California",191400,8748
0500000US06105,6105,"Trinity County, California",286500,21776
0500000US06107,6107,"Tulare County, California",180200,3248
0500000US06109,6109,"Tuolumne County, California",273500,8544
0500000US06111,6111,"Ventura County, California",520300,5294
0500000US06113,6113,"Yolo County, California",370800,6354
0500000US06115,6115,"Yuba County, California",207100,11070
